"Current (A) Run #31","Voltage (V) Run #31","Electron current (pA) Run #31"
-1.625E-13,34.492,0.163
-1.630E-13,34.494,0.163
-1.615E-13,34.500,0.161
-1.654E-13,34.576,0.165
-1.639E-13,34.699,0.164
-1.617E-13,34.849,0.162
-1.644E-13,34.978,0.164
-1.615E-13,35.059,0.162
-1.625E-13,35.147,0.163
-1.642E-13,35.272,0.164
-1.567E-13,35.403,0.157
-1.542E-13,35.520,0.154
-1.535E-13,35.681,0.153
-1.558E-13,35.758,0.156
-1.510E-13,35.790,0.151
-1.522E-13,35.858,0.152
-1.496E-13,35.931,0.150
-1.532E-13,35.957,0.153
-1.522E-13,35.972,0.152
-1.534E-13,35.993,0.153
-1.502E-13,36.039,0.150
-1.470E-13,36.075,0.147
-1.481E-13,36.098,0.148
-1.477E-13,36.127,0.148
-1.435E-13,36.155,0.143
-1.426E-13,36.204,0.143
-1.447E-13,36.238,0.145
-1.433E-13,36.290,0.143
-1.399E-13,36.334,0.140
-1.372E-13,36.384,0.137
-1.401E-13,36.414,0.140
-1.399E-13,36.447,0.140
-1.401E-13,36.472,0.140
-1.407E-13,36.476,0.141
-1.356E-13,36.510,0.136
-1.378E-13,36.583,0.138
-1.357E-13,36.634,0.136
-1.373E-13,36.676,0.137
-1.320E-13,36.700,0.132
-1.312E-13,36.756,0.131
-1.377E-13,36.797,0.138
-1.303E-13,36.834,0.130
-1.341E-13,36.885,0.134
-1.331E-13,36.927,0.133
-1.278E-13,36.981,0.128
-1.244E-13,37.042,0.124
-1.302E-13,37.118,0.130
-1.243E-13,37.207,0.124
-1.203E-13,37.262,0.120
-1.174E-13,37.339,0.117
-1.134E-13,37.398,0.113
-1.174E-13,37.437,0.117
-1.143E-13,37.503,0.114
-1.180E-13,37.558,0.118
-1.152E-13,37.616,0.115
-1.126E-13,37.658,0.113
-1.124E-13,37.691,0.112
-1.141E-13,37.705,0.114
-1.115E-13,37.713,0.111
-1.153E-13,37.727,0.115
-1.076E-13,37.750,0.108
-1.099E-13,37.782,0.110
-1.086E-13,37.817,0.109
-1.101E-13,37.846,0.110
-1.069E-13,37.879,0.107
-1.061E-13,37.903,0.106
-1.119E-13,37.926,0.112
-1.112E-13,37.943,0.111
-1.050E-13,37.984,0.105
-1.105E-13,38.024,0.110
-1.096E-13,38.057,0.110
-1.068E-13,38.107,0.107
-1.035E-13,38.136,0.104
-1.055E-13,38.140,0.106
-1.104E-13,38.160,0.110
-1.098E-13,38.175,0.110
-1.036E-13,38.188,0.104
-1.089E-13,38.195,0.109
-1.047E-13,38.193,0.105
-1.045E-13,38.187,0.104
-1.018E-13,38.195,0.102
-1.016E-13,38.202,0.102
-1.062E-13,38.209,0.106
-1.000E-13,38.281,0.100
-1.051E-13,38.351,0.105
-1.050E-13,38.385,0.105
-1.037E-13,38.418,0.104
-1.074E-13,38.450,0.107
-1.045E-13,38.475,0.104
-9.954E-14,38.497,0.100
-1.006E-13,38.527,0.101
-9.932E-14,38.565,0.099
-1.017E-13,38.615,0.102
-1.037E-13,38.676,0.104
-1.049E-13,38.715,0.105
-1.019E-13,38.758,0.102
-1.021E-13,38.807,0.102
-1.052E-13,38.867,0.105
-1.055E-13,38.910,0.106
-1.026E-13,38.960,0.103
-1.056E-13,39.032,0.106
-9.855E-14,39.108,0.099
-1.023E-13,39.148,0.102
-1.057E-13,39.186,0.106
-1.052E-13,39.228,0.105
-1.062E-13,39.261,0.106
-1.030E-13,39.292,0.103
-9.988E-14,39.318,0.100
-1.009E-13,39.349,0.101
-9.943E-14,39.398,0.099
-1.022E-13,39.448,0.102
-9.800E-14,39.508,0.098
-1.019E-13,39.580,0.102
-1.042E-13,39.635,0.104
-1.027E-13,39.683,0.103
-1.072E-13,39.720,0.107
-1.028E-13,39.772,0.103
-1.042E-13,39.815,0.104
-1.038E-13,39.866,0.104
-1.075E-13,39.939,0.108
-1.066E-13,40.002,0.107
-1.055E-13,40.060,0.106
-1.097E-13,40.101,0.110
-1.117E-13,40.151,0.112
-1.106E-13,40.182,0.111
-1.132E-13,40.220,0.113
-1.115E-13,40.257,0.112
-1.109E-13,40.300,0.111
-1.096E-13,40.331,0.110
-1.134E-13,40.362,0.113
-1.118E-13,40.412,0.112
-1.160E-13,40.477,0.116
-1.171E-13,40.527,0.117
-1.137E-13,40.581,0.114
-1.171E-13,40.612,0.117
-1.165E-13,40.629,0.116
-1.176E-13,40.663,0.118
-1.194E-13,40.689,0.119
-1.161E-13,40.720,0.116
-1.170E-13,40.753,0.117
-1.195E-13,40.796,0.120
-1.192E-13,40.837,0.119
-1.168E-13,40.866,0.117
-1.181E-13,40.897,0.118
-1.178E-13,40.990,0.118
-1.236E-13,41.071,0.124
-1.258E-13,41.097,0.126
-1.248E-13,41.109,0.125
-1.307E-13,41.112,0.131
-1.267E-13,41.129,0.127
-1.298E-13,41.148,0.130
-1.303E-13,41.164,0.130
-1.286E-13,41.188,0.129
-1.302E-13,41.236,0.130
-1.336E-13,41.282,0.134
-1.346E-13,41.325,0.135
-1.375E-13,41.360,0.138
-1.352E-13,41.401,0.135
-1.349E-13,41.437,0.135
-1.354E-13,41.471,0.135
-1.383E-13,41.517,0.138
-1.371E-13,41.565,0.137
-1.382E-13,41.601,0.138
-1.358E-13,41.625,0.136
-1.400E-13,41.650,0.140
-1.418E-13,41.674,0.142
-1.406E-13,41.715,0.141
-1.462E-13,41.768,0.146
-1.423E-13,41.821,0.142
-1.485E-13,41.866,0.148
-1.507E-13,41.915,0.151
-1.481E-13,41.946,0.148
-1.495E-13,41.975,0.150
-1.518E-13,41.983,0.152
-1.544E-13,41.985,0.154
-1.520E-13,41.987,0.152
-1.561E-13,41.988,0.156
-1.575E-13,41.990,0.158
-1.569E-13,41.986,0.157
-1.602E-13,41.992,0.160
-1.570E-13,42.048,0.157
-1.619E-13,42.111,0.162
-1.593E-13,42.171,0.159
-1.609E-13,42.228,0.161
-1.680E-13,42.271,0.168
-1.675E-13,42.322,0.168
-1.650E-13,42.364,0.165
-1.669E-13,42.398,0.167
-1.685E-13,42.440,0.168
-1.684E-13,42.479,0.168
-1.718E-13,42.508,0.172
-1.677E-13,42.526,0.168
-1.703E-13,42.536,0.170
-1.744E-13,42.540,0.174
-1.693E-13,42.539,0.169
-1.727E-13,42.552,0.173
-1.741E-13,42.577,0.174
-1.696E-13,42.605,0.170
-1.731E-13,42.651,0.173
-1.748E-13,42.675,0.175
-1.835E-13,42.700,0.184
-1.827E-13,42.706,0.183
-1.812E-13,42.722,0.181
-1.809E-13,42.743,0.181
-1.773E-13,42.768,0.177
-1.815E-13,42.800,0.182
-1.832E-13,42.835,0.183
-1.834E-13,42.863,0.183
-1.846E-13,42.882,0.185
-1.858E-13,42.891,0.186
-1.861E-13,42.906,0.186
-1.910E-13,42.920,0.191
-1.941E-13,42.943,0.194
-1.949E-13,42.944,0.195
-1.932E-13,42.953,0.193
-1.939E-13,42.980,0.194
-1.981E-13,43.021,0.198
-1.958E-13,43.056,0.196
-1.982E-13,43.075,0.198
-1.960E-13,43.101,0.196
-1.951E-13,43.125,0.195
-1.951E-13,43.145,0.195
-2.000E-13,43.170,0.200
-2.017E-13,43.213,0.202
-2.006E-13,43.263,0.201
-2.036E-13,43.294,0.204
-2.040E-13,43.310,0.204
-2.022E-13,43.335,0.202
-2.066E-13,43.361,0.207
-2.038E-13,43.386,0.204
-2.047E-13,43.422,0.205
-2.093E-13,43.499,0.209
-2.118E-13,43.536,0.212
-2.099E-13,43.551,0.210
-2.095E-13,43.566,0.210
-2.089E-13,43.594,0.209
-2.111E-13,43.620,0.211
-2.101E-13,43.644,0.210
-2.117E-13,43.678,0.212
-2.140E-13,43.710,0.214
-2.176E-13,43.750,0.218
-2.176E-13,43.796,0.218
-2.165E-13,43.853,0.216
-2.130E-13,43.915,0.213
-2.106E-13,43.969,0.211
-2.131E-13,44.032,0.213
-2.171E-13,44.109,0.217
-2.164E-13,44.192,0.216
-2.151E-13,44.246,0.215
-2.177E-13,44.296,0.218
-2.214E-13,44.335,0.221
-2.207E-13,44.378,0.221
-2.240E-13,44.408,0.224
-2.241E-13,44.433,0.224
-2.246E-13,44.456,0.225
-2.209E-13,44.491,0.221
-2.200E-13,44.540,0.220
-2.204E-13,44.581,0.220
-2.198E-13,44.641,0.220
-2.185E-13,44.714,0.219
-2.218E-13,44.776,0.222
-2.174E-13,44.841,0.217
-2.187E-13,44.874,0.219
-2.197E-13,44.921,0.220
-2.179E-13,44.987,0.218
-2.233E-13,45.068,0.223
-2.157E-13,45.162,0.216
-2.198E-13,45.235,0.220
-2.156E-13,45.286,0.216
-2.159E-13,45.336,0.216
-2.139E-13,45.375,0.214
