Current (A),Voltage (V),Electron current (pA)
-4.684E-13,13.906,0.468
-4.713E-13,13.917,0.471
-4.732E-13,13.933,0.473
-4.787E-13,13.945,0.479
-4.879E-13,13.959,0.488
-4.958E-13,13.950,0.496
-4.976E-13,13.952,0.498
-4.961E-13,13.952,0.496
-5.005E-13,13.952,0.500
-4.971E-13,13.950,0.497
-4.998E-13,13.949,0.500
-4.998E-13,13.951,0.500
-4.971E-13,13.953,0.497
-4.986E-13,13.951,0.499
-5.022E-13,13.948,0.502
-5.013E-13,13.963,0.501
-4.970E-13,13.981,0.497
-5.044E-13,14.022,0.504
-5.091E-13,14.064,0.509
-5.193E-13,14.101,0.519
-5.337E-13,14.121,0.534
-5.498E-13,14.140,0.550
-5.608E-13,14.161,0.561
-5.769E-13,14.167,0.577
-5.825E-13,14.186,0.583
-5.942E-13,14.211,0.594
-6.013E-13,14.224,0.601
-6.109E-13,14.227,0.611
-6.122E-13,14.247,0.612
-6.329E-13,14.272,0.633
-6.423E-13,14.286,0.642
-6.458E-13,14.303,0.646
-6.582E-13,14.319,0.658
-6.682E-13,14.329,0.668
-6.784E-13,14.332,0.678
-6.827E-13,14.348,0.683
-6.893E-13,14.359,0.689
-7.009E-13,14.370,0.701
-7.002E-13,14.378,0.700
-7.110E-13,14.385,0.711
-7.149E-13,14.399,0.715
-7.202E-13,14.407,0.720
-7.261E-13,14.423,0.726
-7.370E-13,14.452,0.737
-7.449E-13,14.470,0.745
-7.533E-13,14.479,0.753
-7.625E-13,14.482,0.762
-7.676E-13,14.485,0.768
-7.753E-13,14.489,0.775
-7.857E-13,14.499,0.786
-7.889E-13,14.513,0.789
-7.891E-13,14.523,0.789
-7.976E-13,14.544,0.798
-8.040E-13,14.559,0.804
-8.116E-13,14.580,0.812
-8.267E-13,14.592,0.827
-8.321E-13,14.599,0.832
-8.429E-13,14.598,0.843
-8.522E-13,14.604,0.852
-8.539E-13,14.619,0.854
-8.595E-13,14.619,0.859
-8.657E-13,14.618,0.866
-8.682E-13,14.619,0.868
-8.738E-13,14.624,0.874
-8.762E-13,14.626,0.876
-8.773E-13,14.617,0.877
-8.801E-13,14.623,0.880
-8.752E-13,14.623,0.875
-8.677E-13,14.622,0.868
-8.733E-13,14.622,0.873
-8.767E-13,14.626,0.877
-8.815E-13,14.621,0.882
-8.924E-13,14.623,0.892
-8.941E-13,14.625,0.894
-8.930E-13,14.638,0.893
-8.956E-13,14.653,0.896
-8.971E-13,14.667,0.897
-9.044E-13,14.689,0.904
-9.116E-13,14.715,0.912
-9.247E-13,14.727,0.925
-9.371E-13,14.736,0.937
-9.472E-13,14.748,0.947
-9.551E-13,14.765,0.955
-9.656E-13,14.790,0.966
-9.798E-13,14.804,0.980
-9.882E-13,14.815,0.988
-1.001E-12,14.824,1.001
-1.007E-12,14.829,1.007
-1.017E-12,14.843,1.017
-1.021E-12,14.847,1.021
-1.029E-12,14.857,1.029
-1.035E-12,14.878,1.035
-1.048E-12,14.899,1.048
-1.060E-12,14.909,1.060
-1.071E-12,14.925,1.071
-1.082E-12,14.939,1.082
-1.092E-12,14.951,1.092
-1.104E-12,14.965,1.104
-1.113E-12,14.982,1.113
-1.119E-12,15.007,1.119
-1.132E-12,15.016,1.132
-1.142E-12,15.031,1.142
-1.155E-12,15.047,1.155
-1.167E-12,15.055,1.167
-1.175E-12,15.061,1.175
-1.184E-12,15.075,1.184
-1.197E-12,15.090,1.197
-1.209E-12,15.097,1.209
-1.213E-12,15.118,1.213
-1.221E-12,15.130,1.221
-1.233E-12,15.136,1.233
-1.244E-12,15.139,1.244
-1.253E-12,15.143,1.253
-1.263E-12,15.164,1.263
-1.266E-12,15.169,1.266
-1.276E-12,15.176,1.276
-1.283E-12,15.191,1.283
-1.292E-12,15.204,1.292
-1.307E-12,15.212,1.307
-1.313E-12,15.216,1.313
-1.321E-12,15.223,1.321
-1.326E-12,15.231,1.326
-1.329E-12,15.236,1.329
-1.337E-12,15.243,1.337
-1.344E-12,15.250,1.344
-1.349E-12,15.258,1.349
-1.355E-12,15.266,1.355
-1.362E-12,15.268,1.362
-1.366E-12,15.270,1.366
-1.370E-12,15.280,1.370
-1.377E-12,15.293,1.377
-1.381E-12,15.305,1.381
-1.389E-12,15.320,1.389
-1.399E-12,15.323,1.399
-1.409E-12,15.332,1.409
-1.418E-12,15.343,1.418
-1.424E-12,15.346,1.424
-1.436E-12,15.354,1.436
-1.438E-12,15.364,1.438
-1.449E-12,15.375,1.449
-1.458E-12,15.382,1.458
-1.462E-12,15.396,1.462
-1.468E-12,15.395,1.468
-1.480E-12,15.410,1.480
-1.488E-12,15.419,1.488
-1.491E-12,15.431,1.491
-1.507E-12,15.438,1.507
-1.520E-12,15.451,1.520
-1.523E-12,15.476,1.523
-1.532E-12,15.474,1.532
-1.543E-12,15.486,1.543
-1.556E-12,15.496,1.556
-1.567E-12,15.505,1.567
-1.573E-12,15.513,1.573
-1.584E-12,15.527,1.584
-1.587E-12,15.531,1.587
-1.601E-12,15.534,1.601
-1.605E-12,15.534,1.605
-1.616E-12,15.535,1.616
-1.620E-12,15.535,1.620
-1.623E-12,15.534,1.623
-1.619E-12,15.536,1.619
-1.618E-12,15.535,1.618
-1.620E-12,15.532,1.620
-1.617E-12,15.534,1.617
-1.616E-12,15.534,1.616
-1.619E-12,15.535,1.619
-1.622E-12,15.529,1.622
-1.617E-12,15.532,1.617
-1.619E-12,15.534,1.619
-1.620E-12,15.534,1.620
-1.624E-12,15.534,1.624
-1.624E-12,15.532,1.624
-1.616E-12,15.531,1.616
-1.605E-12,15.534,1.605
-1.606E-12,15.536,1.606
-1.607E-12,15.533,1.607
-1.610E-12,15.529,1.610
-1.607E-12,15.535,1.607
-1.604E-12,15.536,1.604
-1.600E-12,15.538,1.600
-1.603E-12,15.547,1.603
-1.610E-12,15.553,1.610
-1.609E-12,15.575,1.609
-1.618E-12,15.588,1.618
