"Current (A) Run #29","Voltage (V) Run #29","Electron current (pA) Run #29"
-1.804E-12,20.172,1.804
-1.817E-12,20.177,1.817
-1.832E-12,20.186,1.832
-1.836E-12,20.186,1.836
-1.842E-12,20.188,1.842
-1.845E-12,20.186,1.845
-1.850E-12,20.186,1.850
-1.846E-12,20.188,1.846
-1.849E-12,20.183,1.849
-1.845E-12,20.185,1.845
-1.844E-12,20.185,1.844
-1.847E-12,20.186,1.847
-1.844E-12,20.195,1.844
-1.851E-12,20.242,1.851
-1.853E-12,20.285,1.853
-1.859E-12,20.314,1.859
-1.866E-12,20.355,1.866
-1.874E-12,20.383,1.874
-1.884E-12,20.406,1.884
-1.891E-12,20.449,1.891
-1.900E-12,20.476,1.900
-1.912E-12,20.537,1.912
-1.920E-12,20.567,1.920
-1.930E-12,20.580,1.930
-1.945E-12,20.587,1.945
-1.953E-12,20.601,1.953
-1.956E-12,20.619,1.956
-1.964E-12,20.639,1.964
-1.967E-12,20.677,1.967
-1.973E-12,20.706,1.973
-1.982E-12,20.733,1.982
-1.989E-12,20.762,1.989
-1.994E-12,20.787,1.994
-2.000E-12,20.819,2.000
-2.009E-12,20.866,2.009
-2.014E-12,20.920,2.014
-2.023E-12,20.957,2.023
-2.034E-12,21.005,2.034
-2.045E-12,21.044,2.045
-2.056E-12,21.087,2.056
-2.068E-12,21.129,2.068
-2.081E-12,21.175,2.081
-2.087E-12,21.214,2.087
-2.099E-12,21.255,2.099
-2.109E-12,21.296,2.109
-2.119E-12,21.335,2.119
-2.132E-12,21.377,2.132
-2.137E-12,21.421,2.137
-2.145E-12,21.465,2.145
-2.162E-12,21.517,2.162
-2.170E-12,21.568,2.170
-2.175E-12,21.617,2.175
-2.193E-12,21.656,2.193
-2.196E-12,21.699,2.196
-2.208E-12,21.742,2.208
-2.219E-12,21.803,2.219
-2.229E-12,21.864,2.229
-2.241E-12,21.920,2.241
-2.253E-12,21.952,2.253
-2.264E-12,22.002,2.264
-2.270E-12,22.044,2.270
-2.281E-12,22.091,2.281
-2.290E-12,22.154,2.290
-2.303E-12,22.241,2.303
-2.314E-12,22.296,2.314
-2.324E-12,22.346,2.324
-2.339E-12,22.394,2.339
-2.348E-12,22.453,2.348
-2.353E-12,22.518,2.353
-2.359E-12,22.561,2.359
-2.371E-12,22.603,2.371
-2.378E-12,22.641,2.378
-2.386E-12,22.662,2.386
-2.396E-12,22.715,2.396
-2.398E-12,22.770,2.398
-2.400E-12,22.821,2.400
-2.407E-12,22.864,2.407
-2.405E-12,22.883,2.405
-2.411E-12,22.890,2.411
-2.409E-12,22.898,2.409
-2.414E-12,22.971,2.414
-2.420E-12,23.069,2.420
-2.421E-12,23.173,2.421
-2.426E-12,23.261,2.426
-2.432E-12,23.346,2.432
-2.444E-12,23.429,2.444
-2.450E-12,23.529,2.450
-2.454E-12,23.631,2.454
-2.459E-12,23.710,2.459
-2.465E-12,23.757,2.465
-2.466E-12,23.803,2.466
-2.467E-12,23.846,2.467
-2.464E-12,23.895,2.464
-2.459E-12,23.955,2.459
-2.465E-12,24.019,2.465
-2.465E-12,24.098,2.465
-2.460E-12,24.153,2.460
-2.463E-12,24.196,2.463
-2.461E-12,24.250,2.461
-2.458E-12,24.293,2.458
-2.462E-12,24.336,2.462
-2.459E-12,24.378,2.459
-2.465E-12,24.406,2.465
-2.458E-12,24.443,2.458
-2.464E-12,24.486,2.464
-2.458E-12,24.527,2.458
-2.461E-12,24.574,2.461
-2.461E-12,24.618,2.461
-2.457E-12,24.665,2.457
-2.454E-12,24.689,2.454
-2.456E-12,24.696,2.456
-2.453E-12,24.692,2.453
-2.450E-12,24.682,2.450
-2.445E-12,24.683,2.445
-2.445E-12,24.720,2.445
-2.446E-12,24.790,2.446
-2.449E-12,24.889,2.449
-2.442E-12,24.980,2.442
-2.441E-12,25.093,2.441
-2.434E-12,25.177,2.434
-2.424E-12,25.267,2.424
-2.420E-12,25.333,2.420
-2.411E-12,25.391,2.411
-2.404E-12,25.448,2.404
-2.395E-12,25.490,2.395
-2.392E-12,25.527,2.392
-2.382E-12,25.569,2.382
-2.378E-12,25.608,2.378
-2.374E-12,25.634,2.374
-2.371E-12,25.647,2.371
-2.364E-12,25.648,2.364
-2.361E-12,25.652,2.361
-2.355E-12,25.653,2.355
-2.353E-12,25.662,2.353
-2.354E-12,25.678,2.354
-2.351E-12,25.688,2.351
-2.349E-12,25.678,2.349
-2.349E-12,25.692,2.349
-2.351E-12,25.698,2.351
-2.347E-12,25.730,2.347
-2.351E-12,25.767,2.351
-2.347E-12,25.817,2.347
-2.342E-12,25.865,2.342
-2.338E-12,25.899,2.338
-2.334E-12,25.933,2.334
-2.332E-12,25.979,2.332
-2.332E-12,26.027,2.332
-2.324E-12,26.069,2.324
-2.323E-12,26.112,2.323
-2.316E-12,26.143,2.316
-2.307E-12,26.164,2.307
-2.304E-12,26.187,2.304
-2.302E-12,26.210,2.302
-2.298E-12,26.247,2.298
-2.294E-12,26.306,2.294
-2.296E-12,26.362,2.296
-2.292E-12,26.410,2.292
-2.287E-12,26.458,2.287
-2.284E-12,26.513,2.284
-2.277E-12,26.556,2.277
-2.272E-12,26.585,2.272
-2.271E-12,26.596,2.271
-2.266E-12,26.604,2.266
-2.268E-12,26.606,2.268
-2.268E-12,26.668,2.268
-2.265E-12,26.794,2.265
-2.262E-12,26.912,2.262
-2.255E-12,27.053,2.255
-2.257E-12,27.165,2.257
-2.255E-12,27.243,2.255
-2.252E-12,27.330,2.252
-2.253E-12,27.426,2.253
-2.254E-12,27.520,2.254
-2.257E-12,27.591,2.257
-2.268E-12,27.651,2.268
-2.268E-12,27.710,2.268
-2.274E-12,27.797,2.274
-2.280E-12,27.860,2.280
-2.291E-12,27.887,2.291
-2.300E-12,27.887,2.300
-2.312E-12,27.896,2.312
-2.319E-12,27.917,2.319
-2.317E-12,28.006,2.317
-2.330E-12,28.074,2.330
-2.336E-12,28.155,2.336
-2.349E-12,28.228,2.349
-2.366E-12,28.313,2.366
-2.382E-12,28.398,2.382
-2.402E-12,28.471,2.402
-2.418E-12,28.545,2.418
-2.441E-12,28.587,2.441
-2.461E-12,28.628,2.461
-2.482E-12,28.669,2.482
-2.505E-12,28.716,2.505
-2.518E-12,28.767,2.518
-2.541E-12,28.825,2.541
-2.559E-12,28.884,2.559
-2.575E-12,28.963,2.575
-2.599E-12,29.052,2.599
-2.628E-12,29.118,2.628
-2.656E-12,29.188,2.656
-2.687E-12,29.259,2.687
-2.716E-12,29.337,2.716
-2.752E-12,29.411,2.752
-2.786E-12,29.509,2.786
-2.824E-12,29.590,2.824
