"Current (A) Run #33","Voltage (V) Run #33","Electron current (pA) Run #33"
-4.356E-11,22.997,43.559
-4.362E-11,23.042,43.624
-4.369E-11,23.099,43.688
-4.375E-11,23.156,43.753
-4.383E-11,23.214,43.833
-4.392E-11,23.276,43.918
-4.402E-11,23.329,44.017
-4.412E-11,23.398,44.115
-4.422E-11,23.485,44.219
-4.433E-11,23.572,44.329
-4.445E-11,23.625,44.450
-4.457E-11,23.708,44.570
-4.469E-11,23.784,44.694
-4.481E-11,23.874,44.806
-4.491E-11,23.924,44.908
-4.501E-11,23.959,45.007
-4.508E-11,24.015,45.085
-4.515E-11,24.053,45.154
-4.522E-11,24.073,45.220
-4.528E-11,24.111,45.283
-4.534E-11,24.186,45.339
-4.539E-11,24.248,45.387
-4.544E-11,24.287,45.442
-4.549E-11,24.306,45.494
-4.554E-11,24.349,45.543
-4.558E-11,24.451,45.583
-4.563E-11,24.557,45.626
-4.566E-11,24.664,45.660
-4.568E-11,24.773,45.684
-4.570E-11,24.865,45.700
-4.571E-11,24.939,45.709
-4.572E-11,24.976,45.717
-4.573E-11,25.008,45.728
-4.575E-11,25.042,45.748
-4.578E-11,25.093,45.783
-4.582E-11,25.132,45.818
-4.585E-11,25.195,45.848
-4.587E-11,25.253,45.875
-4.590E-11,25.307,45.896
-4.591E-11,25.339,45.915
-4.593E-11,25.377,45.935
-4.596E-11,25.419,45.961
-4.599E-11,25.452,45.988
-4.602E-11,25.490,46.022
-4.605E-11,25.535,46.050
-4.608E-11,25.570,46.084
-4.611E-11,25.581,46.111
-4.615E-11,25.585,46.146
-4.619E-11,25.586,46.193
-4.626E-11,25.586,46.264
-4.634E-11,25.589,46.340
-4.643E-11,25.587,46.427
-4.651E-11,25.581,46.514
-4.661E-11,25.609,46.608
-4.669E-11,25.675,46.688
-4.674E-11,25.748,46.741
-4.675E-11,25.822,46.752
-4.674E-11,25.930,46.735
-4.668E-11,26.052,46.683
-4.660E-11,26.155,46.597
-4.648E-11,26.251,46.481
-4.636E-11,26.337,46.361
-4.625E-11,26.415,46.252
-4.616E-11,26.501,46.155
-4.608E-11,26.557,46.079
-4.603E-11,26.613,46.030
-4.601E-11,26.651,46.009
-4.602E-11,26.683,46.017
-4.606E-11,26.751,46.055
-4.610E-11,26.806,46.099
-4.615E-11,26.841,46.146
-4.620E-11,26.874,46.199
-4.626E-11,26.930,46.262
-4.634E-11,26.967,46.340
-4.642E-11,27.016,46.422
-4.651E-11,27.049,46.509
-4.661E-11,27.068,46.612
-4.672E-11,27.086,46.721
-4.684E-11,27.141,46.841
-4.696E-11,27.170,46.961
-4.708E-11,27.190,47.079
-4.720E-11,27.211,47.202
-4.734E-11,27.232,47.340
-4.747E-11,27.260,47.472
-4.761E-11,27.287,47.613
-4.775E-11,27.312,47.749
-4.789E-11,27.343,47.890
-4.803E-11,27.384,48.029
-4.818E-11,27.426,48.180
-4.834E-11,27.465,48.335
-4.850E-11,27.510,48.500
-4.867E-11,27.546,48.668
